Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB42_Fibril22,-,AB42_fibril22_dissociation,k_F22_F21_fortytwo*AB42_Fibril22*VIS_brain,,AB42_Fibril22,-,(k_F22_F21_fortytwo * AB42_Fibril22),,,,,,,,,,,,,,
AB42_Fibril22,-,AB42_antibody_fibril22_binding,fta2*AB42_Fibril22*Ab_t*VIS_brain,,AB42_Fibril22,-,(k_F22_F23_fortytwo * AB42_Monomer * AB42_Fibril22),,,,,,,,,,,,,,
AB42_Fibril22,-,AB42_microglia_fibril22_clearance,Microglia_Vmax_fortytwo*AB42_Fibril22*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Fibril22,+,k_F23_F22_fortytwo * AB42_Fibril23,,,,,,,,,,,,,,
AB42_Fibril22,-,AB42_fibril23_formation,k_F22_F23_fortytwo*AB42_Fibril22*AB42_Monomer*VIS_brain,,AB42_Fibril22,-,(fta2 * Antibody_unbound_ISF * AB42_Fibril22),,,,,,,,,,,,,,
AB42_Fibril22,+,AB42_fibril23_dissociation,k_F23_F22_fortytwo*AB42_Fibril23*VIS_brain,,AB42_Fibril22,-,(AB42_Fibril22 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Fibril22,-,AB42_Fibril22_to_PVS,(1 - sigma_ISF_ABeta42_oligomer22)*Q_PVS*AB42_Fibril22,,AB42_Fibril22,-,((1 - sigma_ISF_ABeta42_oligomer022) * Q_PVS * AB42_Fibril22 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Fibril22_Antibody_bound,+,AB42_antibody_fibril22_binding,fta2*AB42_Fibril22*Ab_t*VIS_brain,,AB42_Fibril22_Antibody_bound,-,(AB42_Fibril22_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Fibril22_Antibody_bound,-,AB42_Fibril22_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Fibril22_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Fibril22_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB42_Fibril22,,,,,,,,,,,,,,
AB42_Fibril22_PVS,+,AB42_Fibril22_to_PVS,(1 - sigma_ISF_ABeta42_oligomer22)*Q_PVS*AB42_Fibril22,,AB42_Fibril22_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB42_Fibril22_PVS),,,,,,,,,,,,,,
AB42_Fibril22_PVS,-,AB42_Fibril22_PVS_binding,fta2*AB42_Fibril22_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril22_PVS,+,(1 - sigma_ISF_ABeta42_oligomer022) * Q_PVS * AB42_Fibril22 / V_PVS,,,,,,,,,,,,,,
AB42_Fibril22_PVS,-,AB42_Fibril22_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Fibril22_PVS,,AB42_Fibril22_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Fibril22_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Fibril22_PVS_bound,+,AB42_Fibril22_PVS_binding,fta2*AB42_Fibril22_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril22_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB42_Fibril22_PVS,,,,,,,,,,,,,,
AB42_Fibril22_PVS_bound,-,AB42_Fibril22_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Fibril22_PVS_bound,,AB42_Fibril22_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Fibril22_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Fibril23,+,AB42_fibril23_formation,k_F22_F23_fortytwo*AB42_Fibril22*AB42_Monomer*VIS_brain,,AB42_Fibril23,+,k_F22_F23_fortytwo * AB42_Monomer * AB42_Fibril22,,,,,,,,,,,,,,
AB42_Fibril23,-,AB42_fibril23_dissociation,k_F23_F22_fortytwo*AB42_Fibril23*VIS_brain,,AB42_Fibril23,-,(k_F23_F22_fortytwo * AB42_Fibril23),,,,,,,,,,,,,,
AB42_Fibril23,-,AB42_antibody_fibril23_binding,fta2*AB42_Fibril23*Ab_t*VIS_brain,,AB42_Fibril23,-,(k_F23_F24_fortytwo * AB42_Monomer * AB42_Fibril23),,,,,,,,,,,,,,
AB42_Fibril23,-,AB42_microglia_fibril23_clearance,Microglia_Vmax_fortytwo*AB42_Fibril23*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Fibril23,+,k_F24_F23_fortytwo * AB42_Fibril24,,,,,,,,,,,,,,
AB42_Fibril23,-,AB42_fibril24_formation,k_F23_F24_fortytwo*AB42_Fibril23*AB42_Monomer*VIS_brain,,AB42_Fibril23,-,(fta2 * Antibody_unbound_ISF * AB42_Fibril23),,,,,,,,,,,,,,
AB42_Fibril23,+,AB42_fibril24_dissociation,k_F24_F23_fortytwo*AB42_Fibril24*VIS_brain,,AB42_Fibril23,-,(AB42_Fibril23 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Fibril23,-,AB42_Fibril23_to_PVS,(1 - sigma_ISF_ABeta42_oligomer23)*Q_PVS*AB42_Fibril23,,AB42_Fibril23,-,((1 - sigma_ISF_ABeta42_oligomer023) * Q_PVS * AB42_Fibril23 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Fibril23_Antibody_bound,+,AB42_antibody_fibril23_binding,fta2*AB42_Fibril23*Ab_t*VIS_brain,,AB42_Fibril23_Antibody_bound,-,(AB42_Fibril23_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Fibril23_Antibody_bound,-,AB42_Fibril23_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Fibril23_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Fibril23_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB42_Fibril23,,,,,,,,,,,,,,
AB42_Fibril23_PVS,+,AB42_Fibril23_to_PVS,(1 - sigma_ISF_ABeta42_oligomer23)*Q_PVS*AB42_Fibril23,,AB42_Fibril23_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB42_Fibril23_PVS),,,,,,,,,,,,,,
AB42_Fibril23_PVS,-,AB42_Fibril23_PVS_binding,fta2*AB42_Fibril23_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril23_PVS,+,(1 - sigma_ISF_ABeta42_oligomer023) * Q_PVS * AB42_Fibril23 / V_PVS,,,,,,,,,,,,,,
AB42_Fibril23_PVS,-,AB42_Fibril23_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Fibril23_PVS,,AB42_Fibril23_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Fibril23_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Fibril23_PVS_bound,+,AB42_Fibril23_PVS_binding,fta2*AB42_Fibril23_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril23_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB42_Fibril23_PVS,,,,,,,,,,,,,,
AB42_Fibril23_PVS_bound,-,AB42_Fibril23_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Fibril23_PVS_bound,,AB42_Fibril23_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Fibril23_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Fibril24,+,AB42_fibril24_formation,k_F23_F24_fortytwo*AB42_Fibril23*AB42_Monomer*VIS_brain,,AB42_Fibril24,+,k_F23_F24_fortytwo * AB42_Monomer * AB42_Fibril23,,,,,,,,,,,,,,
AB42_Fibril24,-,AB42_fibril24_dissociation,k_F24_F23_fortytwo*AB42_Fibril24*VIS_brain,,AB42_Fibril24,-,(k_F24_F23_fortytwo * AB42_Fibril24),,,,,,,,,,,,,,
AB42_Fibril24,-,AB42_fibril24_breakdown,k_F24_O12_fortytwo*k_F24_F23_fortytwo*AB42_Fibril24*VIS_brain,,AB42_Fibril24,-,(fta2 * Antibody_unbound_ISF * AB42_Fibril24),,,,,,,,,,,,,,
AB42_Fibril24,-,AB42_antibody_fibril24_binding,fta2*AB42_Fibril24*Ab_t*VIS_brain,,AB42_Fibril24,-,(AB42_Fibril24 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Fibril24,-,AB42_microglia_fibril24_clearance,Microglia_Vmax_fortytwo*AB42_Fibril24*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Fibril24,-,(k_F24_O12_fortytwo * k_F24_F23_fortytwo * AB42_Fibril24),,,,,,,,,,,,,,
AB42_Fibril24,-,AB42_Fibril24_to_PVS,(1 - sigma_ISF_ABeta42_oligomer24)*Q_PVS*AB42_Fibril24,,AB42_Fibril24,-,((1 - sigma_ISF_ABeta42_oligomer024) * Q_PVS * AB42_Fibril24 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Fibril24_Antibody_bound,+,AB42_antibody_fibril24_binding,fta2*AB42_Fibril24*Ab_t*VIS_brain,,AB42_Fibril24_Antibody_bound,-,(AB42_Fibril24_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Fibril24_Antibody_bound,-,AB42_Fibril24_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Fibril24_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Fibril24_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB42_Fibril24,,,,,,,,,,,,,,
AB42_Fibril24_PVS,+,AB42_Fibril24_to_PVS,(1 - sigma_ISF_ABeta42_oligomer24)*Q_PVS*AB42_Fibril24,,AB42_Fibril24_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB42_Fibril24_PVS),,,,,,,,,,,,,,
AB42_Fibril24_PVS,-,AB42_Fibril24_PVS_binding,fta2*AB42_Fibril24_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril24_PVS,+,(1 - sigma_ISF_ABeta42_oligomer024) * Q_PVS * AB42_Fibril24 / V_PVS,,,,,,,,,,,,,,
AB42_Fibril24_PVS,-,AB42_Fibril24_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Fibril24_PVS,,AB42_Fibril24_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Fibril24_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Fibril24_PVS_bound,+,AB42_Fibril24_PVS_binding,fta2*AB42_Fibril24_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Fibril24_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB42_Fibril24_PVS,,,,,,,,,,,,,,
AB42_Fibril24_PVS_bound,-,AB42_Fibril24_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Fibril24_PVS_bound,,AB42_Fibril24_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Fibril24_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Monomer,+,C99_to_AB42,k_in_AB42*C99*VIS_brain,,AB42_Monomer,-,(k_F17_F18_fortytwo * AB42_Monomer * AB42_Fibril17),,,,,,,,,,,,,,
AB42_Monomer,-,IDE_AB42_clearance,IDE_conc*CL_AB42_IDE*((AB42_Monomer*Unit_removal_1)^AB42_IDE_Hill/((AB42_Monomer*Unit_removal_1)^AB42_IDE_Hill + AB42_IDE_IC50^AB42_IDE_Hill))*VIS_brain,,AB42_Monomer,+,k_F17_O16_fortytwo * AB42_Fibril17,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_dimer_formation,k_M_O2_fortytwo*AB42_Monomer*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_F18_F17_fortytwo * AB42_Fibril18,,,,,,,,,,,,,,
AB42_Monomer,+,AB42_dimer_dissociation,k_O2_M_fortytwo*AB42_Oligomer02*VIS_brain,,AB42_Monomer,-,(k_F18_F19_fortytwo * AB42_Monomer * AB42_Fibril18),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer02_plaque_catalyzed_formation,k_M_O2_fortytwo*AB42_Plaque_Vmax*AB42_Monomer*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_EC50))*VIS_brain,,AB42_Monomer,+,k_F19_F18_fortytwo * AB42_Fibril19,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer03_formation,k_O2_O3_fortytwo*AB42_Oligomer02*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_F19_F20_fortytwo * AB42_Monomer * AB42_Fibril19),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer03_dissociation,k_O3_O2_fortytwo*AB42_Oligomer03*VIS_brain,,AB42_Monomer,+,k_F20_F19_fortytwo * AB42_Fibril20,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer03_plaque_catalyzed_formation,k_O2_O3_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer02*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_F20_F21_fortytwo * AB42_Monomer * AB42_Fibril20),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer04_formation,k_O3_O4_fortytwo*AB42_Oligomer03*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_F21_F20_fortytwo * AB42_Fibril21,,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer04_dissociation,k_O4_O3_fortytwo*AB42_Oligomer04*VIS_brain,,AB42_Monomer,-,(k_F21_F22_fortytwo * AB42_Monomer * AB42_Fibril21),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer04_plaque_catalyzed_formation,k_O3_O4_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer03*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,+,k_F22_F21_fortytwo * AB42_Fibril22,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer05_formation,k_O4_O5_fortytwo*AB42_Oligomer04*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_F22_F23_fortytwo * AB42_Monomer * AB42_Fibril22),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer05_dissociation,k_O5_O4_fortytwo*AB42_Oligomer05*VIS_brain,,AB42_Monomer,+,k_F23_F22_fortytwo * AB42_Fibril23,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer05_plaque_catalyzed_formation,k_O4_O5_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer04*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_F23_F24_fortytwo * AB42_Monomer * AB42_Fibril23),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer06_formation,k_O5_O6_fortytwo*AB42_Oligomer05*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_F24_F23_fortytwo * AB42_Fibril24,,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer06_dissociation,k_O6_O5_fortytwo*AB42_Oligomer06*VIS_brain,,AB42_Monomer,-,(K_F17_Plaque_fortytwo * AB42_Fibril17 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer06_plaque_catalyzed_formation,k_O5_O6_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer05*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(K_F18_Plaque_fortytwo * AB42_Fibril18 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer07_formation,k_O6_O7_fortytwo*AB42_Oligomer06*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(fta0 * Antibody_unbound_ISF * AB42_Monomer),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer07_dissociation,k_O7_O6_fortytwo*AB42_Oligomer07*VIS_brain,,AB42_Monomer,-,(2 * (k_M_O2_fortytwo * AB42_Monomer * AB42_Monomer)),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer07_plaque_catalyzed_formation,k_O6_O7_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer06*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(2 * (k_M_O2_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Monomer * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50)))),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer08_formation,k_O7_O8_fortytwo*AB42_Oligomer07*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O2_O3_fortytwo * AB42_Monomer * AB42_Oligomer02),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer08_dissociation,k_O8_O7_fortytwo*AB42_Oligomer08*VIS_brain,,AB42_Monomer,+,2 * (k_O2_M_fortytwo * AB42_Oligomer02),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer08_plaque_catalyzed_formation,k_O7_O8_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer07*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,+,k_O3_O2_fortytwo * AB42_Oligomer03,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer09_formation,k_O8_O9_fortytwo*AB42_Oligomer08*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O3_O4_fortytwo * AB42_Monomer * AB42_Oligomer03),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer09_dissociation,k_O9_O8_fortytwo*AB42_Oligomer09*VIS_brain,,AB42_Monomer,+,k_O4_O3_fortytwo * AB42_Oligomer04,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer09_plaque_catalyzed_formation,k_O8_O9_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer08*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O4_O5_fortytwo * AB42_Monomer * AB42_Oligomer04),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer10_formation,k_O9_O10_fortytwo*AB42_Oligomer09*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_O5_O4_fortytwo * AB42_Oligomer05,,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer10_dissociation,k_O10_O9_fortytwo*AB42_Oligomer10*VIS_brain,,AB42_Monomer,-,(k_O5_O6_fortytwo * AB42_Monomer * AB42_Oligomer05),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer10_plaque_catalyzed_formation,k_O9_O10_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer09*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,+,k_O6_O5_fortytwo * AB42_Oligomer06,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer11_formation,k_O10_O11_fortytwo*AB42_Oligomer10*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O6_O7_fortytwo * AB42_Monomer * AB42_Oligomer06),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer11_dissociation,k_O11_O10_fortytwo*AB42_Oligomer11*VIS_brain,,AB42_Monomer,+,k_O7_O6_fortytwo * AB42_Oligomer07,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer11_plaque_catalyzed_formation,k_O10_O11_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer10*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O7_O8_fortytwo * AB42_Monomer * AB42_Oligomer07),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer12_formation,k_O11_O12_fortytwo*AB42_Oligomer11*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_O8_O7_fortytwo * AB42_Oligomer08,,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer12_dissociation,k_O12_O11_fortytwo*AB42_Oligomer12*VIS_brain,,AB42_Monomer,-,(k_O8_O9_fortytwo * AB42_Monomer * AB42_Oligomer08),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer12_plaque_catalyzed_formation,k_O11_O12_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer11*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,+,k_O9_O8_fortytwo * AB42_Oligomer09,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer13_formation,k_O12_O13_fortytwo*AB42_Oligomer12*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O9_O10_fortytwo * AB42_Monomer * AB42_Oligomer09),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer13_dissociation,k_O13_O12_fortytwo*AB42_Oligomer13*VIS_brain,,AB42_Monomer,+,k_O10_O9_fortytwo * AB42_Oligomer10,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_plaque_oligomer13_formation,k_O12_O13_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer12*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O10_O11_fortytwo * AB42_Monomer * AB42_Oligomer10),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer13_to_plaque,k_O13_Plaque_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_O11_O10_fortytwo * AB42_Oligomer11,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer14_formation,k_O13_O14_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O11_O12_fortytwo * AB42_Monomer * AB42_Oligomer11),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer14_dissociation,k_O14_O13_fortytwo*AB42_Oligomer14*VIS_brain,,AB42_Monomer,+,k_O12_O11_fortytwo * AB42_Oligomer12,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_plaque_oligomer14_formation,k_O13_O14_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer13*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O12_O13_fortytwo * AB42_Monomer * AB42_Oligomer12),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer14_to_plaque,k_O14_Plaque_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_O13_O12_fortytwo * AB42_Oligomer13,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer15_formation,k_O14_O15_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O13_O14_fortytwo * AB42_Monomer * AB42_Oligomer13),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer15_dissociation,k_O15_O14_fortytwo*AB42_Oligomer15*VIS_brain,,AB42_Monomer,+,k_O14_O13_fortytwo * AB42_Oligomer14,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_plaque_oligomer15_formation,k_O14_O15_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer14*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O14_O15_fortytwo * AB42_Monomer * AB42_Oligomer14),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer15_to_plaque,k_O15_Plaque_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Monomer,+,k_O15_O14_fortytwo * AB42_Oligomer15,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer16_formation,k_O15_O16_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O15_O16_fortytwo * AB42_Monomer * AB42_Oligomer15),,,,,,,,,,,,,,
AB42_Monomer,+,AB42_Oligomer16_dissociation,k_O16_O15_fortytwo*AB42_Oligomer16*VIS_brain,,AB42_Monomer,+,k_O16_O15_fortytwo * AB42_Oligomer16,,,,,,,,,,,,,,
AB42_Monomer,-,AB42_plaque_oligomer16_formation,k_O15_O16_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer15*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Monomer,-,(k_O16_F17_fortytwo * AB42_Monomer * AB42_Oligomer16),,,,,,,,,,,,,,
AB42_Monomer,-,AB42_Oligomer16_to_plaque,k_O16_Plaque_fortytwo*AB42_Oligomer16*AB42_Monomer*VIS_brain,,AB42_Monomer,-,(k_O2_O3_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer02 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
